,date,name,point
0,2018-07-01,당갈,9.52
1,2018-07-01,허스토리,9.35
2,2018-07-01,"지금, 만나러 갑니다",9.34
3,2018-07-01,인크레더블 2,9.27
4,2018-07-01,1987,9.25
5,2018-07-01,극장판 헬로카봇 : 백악기 시대,9.24
6,2018-07-01,명탐정 코난 : 제로의 집행인,9.23
7,2018-07-01,어느 가족,9.22
8,2018-07-01,러빙 빈센트,9.19
9,2018-07-01,내 사랑,9.17
10,2018-07-01,미션 임파서블: 폴아웃,9.14
11,2018-07-01,맘마미아!2,9.07
12,2018-07-01,어벤져스: 인피니티 워,8.95
13,2018-07-01,너의 결혼식,8.94
14,2018-07-01,그것만이 내 세상,8.92
15,2018-07-01,바르다가 사랑한 얼굴들,8.91
16,2018-07-01,소공녀,8.88
17,2018-07-01,비포 선라이즈,8.88
18,2018-07-01,극장판 도라에몽: 진구의 보물섬,8.78
19,2018-07-01,신비아파트: 금빛 도깨비와 비밀의 동굴,8.76
20,2018-07-01,바닷마을 다이어리,8.74
21,2018-07-01,"부르고뉴, 와인에서 찾은 인생",8.71
22,2018-07-01,앤트맨과 와스프,8.66
23,2018-07-01,걸어도 걸어도,8.64
24,2018-07-01,안경,8.6
25,2018-07-01,몬스터 호텔 3,8.59
26,2018-07-01,아비정전,8.51
27,2018-07-01,이별의 아침에 약속의 꽃을 장식하자,8.49
28,2018-07-01,시카리오: 데이 오브 솔다도,8.48
29,2018-07-01,탐정: 리턴즈,8.44
30,2018-07-01,나를 차버린 스파이,8.38
31,2018-07-01,카모메 식당,8.38
32,2018-07-01,신은 죽지 않았다 3: 어둠 속의 빛,8.37
33,2018-07-01,노인을 위한 나라는 없다,8.2
34,2018-07-01,고양이를 빌려드립니다,8.08
35,2018-07-01,파리로 가는 길,7.9
36,2018-07-01,아이 엠 러브,7.89
37,2018-07-01,한여름의 판타지아,7.83
38,2018-07-01,세 번째 살인,7.78
39,2018-07-01,신과함께-인과 연,7.73
40,2018-07-01,콜 미 바이 유어 네임,7.55
41,2018-07-01,킬링 디어,7.16
42,2018-07-01,공작,6.87
43,2018-07-01,메가로돈,6.73
44,2018-07-01,조선명탐정: 흡혈괴마의 비밀,6.65
45,2018-07-01,곤지암,6.47
46,2018-07-01,목격자,5.66
47,2018-07-01,인랑,3.87
48,2018-07-02,당갈,9.52
49,2018-07-02,허스토리,9.35
50,2018-07-02,"지금, 만나러 갑니다",9.34
51,2018-07-02,인크레더블 2,9.27
52,2018-07-02,1987,9.25
53,2018-07-02,극장판 헬로카봇 : 백악기 시대,9.24
54,2018-07-02,명탐정 코난 : 제로의 집행인,9.23
55,2018-07-02,어느 가족,9.22
56,2018-07-02,러빙 빈센트,9.19
57,2018-07-02,내 사랑,9.17
58,2018-07-02,미션 임파서블: 폴아웃,9.14
59,2018-07-02,맘마미아!2,9.07
60,2018-07-02,어벤져스: 인피니티 워,8.95
61,2018-07-02,너의 결혼식,8.94
62,2018-07-02,그것만이 내 세상,8.92
63,2018-07-02,바르다가 사랑한 얼굴들,8.91
64,2018-07-02,소공녀,8.88
